env_step,episode,train_step,0_episode_r,1_episode_r,2_episode_r,3_episode_r,4_episode_r,5_episode_r,mean_episode_r,action_left_mean,action_right_mean,action_abs_mean,action_std,num_target,num_collision,finish_time
800,1,634,-1.5679211616516113,1.7060737609863281,2.500783681869507,-5.592805862426758,-7.550165176391602,2.622447967529297,-1.3135977983474731,-0.007568873465061188,0.02144380658864975,0.22912561893463135,0.2799302935600281,0.0,0,800.0
1600,2,1434,-1.9692422151565552,12.59497356414795,-0.8360891342163086,0.99837327003479,-5.377275466918945,-7.090811729431152,-0.28001195192337036,0.005968629848212004,-0.007064417935907841,0.24627210199832916,0.2990967035293579,0.0,0,800.0
2400,3,2234,-3.7945237159729004,-6.261765956878662,1.8884947299957275,-0.8152081966400146,-4.040122985839844,3.602849245071411,-1.5700461467107136,0.00660266587510705,-0.0070968628861010075,0.24896006286144257,0.3023971915245056,0.0,1,800.0
3200,4,3034,8.680854797363281,11.387594223022461,-3.602804183959961,7.106243133544922,-2.3331973552703857,2.1055150032043457,3.890700936317444,-0.002572301309555769,-0.006069766823202372,0.1948043555021286,0.26515325903892517,3.0,1,800.0
4000,5,3834,-2.56730318069458,1.9971518516540527,-0.4101313352584839,3.8762550354003906,10.41884994506836,6.846683502197266,3.360250969727834,0.014975341036915779,-0.018191194161772728,0.2195269763469696,0.2872203290462494,2.0,7,800.0
4800,6,4634,2.3410871028900146,6.618687629699707,9.512231826782227,2.2895495891571045,-2.4610233306884766,1.175011157989502,3.2459239959716797,-0.015406649559736252,-0.036683905869722366,0.21810302138328552,0.28217896819114685,2.0,0,800.0
5600,7,5434,11.095863342285156,16.071136474609375,12.181011199951172,2.8468234539031982,5.248127460479736,4.421210289001465,8.644028703371683,-0.005354519002139568,-0.026418117806315422,0.16623538732528687,0.25031089782714844,4.0,1,800.0
6400,8,6234,-0.16868233680725098,4.644758224487305,13.495241165161133,9.667337417602539,8.997257232666016,9.019030570983887,7.609157045682271,-0.07224319130182266,-0.06849165260791779,0.191215381026268,0.26958322525024414,3.0,2,800.0
7200,9,7034,11.201507568359375,6.233453750610352,4.746018886566162,3.2017226219177246,10.008880615234375,7.94599723815918,7.222930113474528,-0.049012020230293274,-0.0497220903635025,0.14590728282928467,0.2512398660182953,4.0,11,800.0
8000,10,7834,-2.846498489379883,6.083118438720703,22.54726791381836,18.370952606201172,11.835699081420898,5.6438517570495605,10.272398551305136,-0.038814712315797806,-0.03626726567745209,0.19058990478515625,0.29977306723594666,3.0,1,800.0
8800,11,8634,16.66500473022461,-2.0355520248413086,-5.249078273773193,23.317581176757812,4.3544392585754395,23.745485305786133,10.132980028788248,-0.06342533230781555,-0.058489978313446045,0.21599464118480682,0.3445883095264435,3.0,1,800.0
