step,0_episode_r,1_episode_r,2_episode_r,3_episode_r,4_episode_r,5_episode_r,mean_episode_r,action_left_mean,action_right_mean,action_abs_mean,action_std,num_target,num_collision,finish_time
634,-8.387676239013672,6.897561073303223,2.666290521621704,3.370542526245117,-7.736733913421631,-1.758148193359375,-0.824694037437439,-0.020283671095967293,-0.005317330360412598,0.2009839415550232,0.26549169421195984,2.0,0,800.0
1434,-42.49199676513672,5.871219158172607,18.52059555053711,34.2357177734375,8.452117919921875,37.09789276123047,10.280924399693808,-0.06353646516799927,-0.04739022254943848,0.16381865739822388,0.26489245891571045,4.0,5,800.0
2234,12.142595291137695,12.2302827835083,-37.1943244934082,21.057910919189453,-7.995399475097656,12.061606407165527,2.050445238749186,0.0007776641868986189,0.004971879534423351,0.1259813904762268,0.247519388794899,4.0,0,800.0
3034,12.642911911010742,9.165000915527344,12.124556541442871,-6.280399799346924,21.67719841003418,12.444990158081055,10.295709689458212,0.01245907787233591,0.01522907242178917,0.07144366949796677,0.19451184570789337,5.0,0,800.0
3834,-9.480573654174805,10.165979385375977,5.657957077026367,10.569764137268066,6.480931282043457,19.801971435546875,7.199338277180989,0.022631514817476273,0.03262923285365105,0.08073032647371292,0.21697703003883362,5.0,0,800.0
4634,10.316774368286133,10.734062194824219,-26.506591796875,12.228540420532227,3.5117673873901367,17.360374450683594,4.607487837473552,0.1308939903974533,0.10396900773048401,0.2077818065881729,0.3428478240966797,4.0,5,800.0
5434,-22.103900909423828,13.281699180603027,13.076264381408691,12.687742233276367,10.459199905395508,13.964726448059082,6.894288539886475,0.03021566942334175,0.026281723752617836,0.09104453027248383,0.23406168818473816,5.0,0,800.0
6234,-6.505335807800293,12.285116195678711,7.450313568115234,12.952662467956543,3.9786317348480225,10.963926315307617,6.854219079017639,0.1397480070590973,0.14810658991336823,0.19484961032867432,0.3356002867221832,5.0,4,800.0
6395,18.405277252197266,18.427541732788086,24.183942794799805,18.272916793823242,12.299405097961426,11.091897010803223,17.113496780395508,0.04744680970907211,0.06851945072412491,0.1793764978647232,0.34762629866600037,6.0,0,160.0
6841,10.875067710876465,5.656330108642578,20.14896011352539,11.093393325805664,3.246119976043701,12.789908409118652,10.634963274002075,0.047746386379003525,0.07015731930732727,0.13786473870277405,0.301466703414917,6.0,0,445.0
7641,-20.90462303161621,12.670644760131836,2.624546527862549,34.44762420654297,14.703229904174805,10.307625770568848,8.974841356277466,0.07812552154064178,0.0828668475151062,0.12669217586517334,0.29372528195381165,5.0,0,800.0
7779,19.284509658813477,12.60397720336914,18.34168815612793,26.55731201171875,18.409818649291992,30.083797454833984,20.880183855692547,0.1713452786207199,0.17443427443504333,0.34687870740890503,0.4859123229980469,6.0,1,137.0
8066,37.02840042114258,11.891132354736328,11.03909969329834,3.182717800140381,51.62104797363281,7.468109130859375,20.371751228968304,0.16641083359718323,0.17521998286247253,0.2581997513771057,0.4203152656555176,6.0,0,286.0
8657,59.38976287841797,6.18803071975708,40.93011474609375,6.690685749053955,13.567089080810547,11.206747055053711,22.995405038197834,0.044296957552433014,0.052230920642614365,0.12348867952823639,0.29172205924987793,6.0,0,590.0
8941,70.07379913330078,23.664445877075195,12.389593124389648,12.337164878845215,3.47829008102417,12.853736877441406,22.466171662012737,0.10677624493837357,0.11369072645902634,0.1599929928779602,0.33051249384880066,6.0,0,283.0
