step,0_episode_r,1_episode_r,2_episode_r,3_episode_r,4_episode_r,5_episode_r,mean_episode_r,action_left_mean,action_right_mean,action_abs_mean,action_std,num_target,num_collision,finish_time
634,2.087899684906006,4.832050323486328,-7.12336540222168,-2.5190415382385254,-8.637059211730957,-7.667229652404785,-3.171124299367269,-0.01178751327097416,-0.004455140326172113,0.23525044322013855,0.28762683272361755,1.0,0,800.0
1434,9.383050918579102,6.092965126037598,10.234115600585938,40.5338134765625,9.844266891479492,2.739008903503418,13.137870152791342,-0.020696232095360756,-0.027491658926010132,0.14675679802894592,0.2525179088115692,4.0,1,800.0
2234,-2.6257786750793457,-20.396728515625,16.56851577758789,17.11022186279297,-5.921154499053955,11.758766174316406,2.7489736874898276,0.013078372925519943,0.014006371609866619,0.19697079062461853,0.33035022020339966,3.0,12,800.0
3034,15.209243774414062,6.423748970031738,10.402844429016113,-26.5279541015625,15.609464645385742,-0.6942844390869141,3.403843879699707,0.02884143590927124,0.020154640078544617,0.1357051283121109,0.26398131251335144,4.0,2,800.0
3834,6.655327796936035,10.369582176208496,10.144132614135742,10.250903129577637,6.232510566711426,14.206198692321777,9.64310916264852,0.020506512373685837,0.029754308983683586,0.154331773519516,0.28659871220588684,5.0,1,800.0
4634,29.94537925720215,10.592514038085938,12.798797607421875,36.478580474853516,3.7789478302001953,16.85302734375,18.407874425252277,0.05441022291779518,0.06471879780292511,0.12470835447311401,0.26452168822288513,5.0,3,800.0
5023,21.376129150390625,17.75503921508789,11.847537994384766,12.43126106262207,10.525729179382324,6.308259010314941,13.373992602030436,0.05969869717955589,0.06294279545545578,0.12640339136123657,0.2710341811180115,6.0,0,388.0
5668,24.33254623413086,18.248308181762695,17.812889099121094,10.195572853088379,6.368610382080078,10.557353973388672,14.585880120595297,0.05377858877182007,0.08104855567216873,0.13890472054481506,0.2818705141544342,6.0,3,644.0
5773,73.40837860107422,11.144938468933105,6.027244567871094,4.048430919647217,22.067398071289062,10.698934555053711,21.2325541973114,0.16970957815647125,0.19916661083698273,0.2875770330429077,0.42228561639785767,6.0,0,104.0
6320,19.24751853942871,15.32494831085205,20.3583927154541,11.960872650146484,12.056340217590332,10.362486839294434,14.885093212127686,0.10113096982240677,0.11420416086912155,0.17303332686424255,0.32176733016967773,6.0,0,546.0
6704,12.930023193359375,55.137115478515625,17.3926944732666,18.984817504882812,25.17200469970703,29.613712310791016,26.538394610087078,0.12873297929763794,0.16330820322036743,0.23577648401260376,0.3842334747314453,6.0,0,383.0
7079,9.443431854248047,57.81822204589844,2.91837739944458,24.42760467529297,44.151512145996094,10.876559257507324,24.939284563064575,0.15797454118728638,0.17635512351989746,0.1962922364473343,0.3527301549911499,6.0,0,374.0
7408,29.74102210998535,3.4404172897338867,10.47072696685791,11.214422225952148,5.868601322174072,17.25261878967285,12.997968117396036,0.0901067927479744,0.11230595409870148,0.15848687291145325,0.32976046204566956,6.0,0,328.0
7907,20.06570816040039,43.13587188720703,11.415756225585938,6.575542449951172,14.09787654876709,22.218042373657227,19.584799607594807,0.1096324697136879,0.13061802089214325,0.15772518515586853,0.324355810880661,6.0,0,498.0
8707,7.244207382202148,15.58873176574707,12.369571685791016,11.055917739868164,22.24744987487793,23.843673706054688,15.391592025756836,0.10607467591762543,0.13604530692100525,0.19923777878284454,0.3585263192653656,4.0,1,800.0
9244,12.510976791381836,57.816566467285156,3.5808300971984863,11.501091003417969,27.308517456054688,12.746892929077148,20.910812457402546,0.16087351739406586,0.19475200772285461,0.19687588512897491,0.3526076376438141,6.0,0,536.0
10044,3.087898015975952,21.87287139892578,6.493022441864014,27.962400436401367,8.32912826538086,10.166391372680664,12.985285321871439,0.09751638025045395,0.11554312705993652,0.1380397528409958,0.2977580726146698,5.0,0,800.0
10844,11.029729843139648,5.867528915405273,11.32349967956543,3.8800127506256104,4.720882415771484,17.808032989501953,9.104947765668234,0.026790915057063103,0.01934366300702095,0.09105134010314941,0.24086393415927887,5.0,1,800.0
11644,24.44839859008789,-15.687860488891602,19.624744415283203,6.579669952392578,10.758987426757812,12.751301765441895,9.745873610178629,-0.006013785023242235,-0.007252339739352465,0.14338864386081696,0.28154122829437256,4.0,0,800.0
11966,78.48851776123047,12.25581169128418,26.147268295288086,21.09312629699707,12.466876029968262,10.404553413391113,26.809358914693195,-0.030848128721117973,-0.020274914801120758,0.17016401886940002,0.343025267124176,6.0,0,321.0
12766,3.251067638397217,5.996621608734131,12.918880462646484,7.760317325592041,22.854408264160156,10.311729431152344,10.515504121780396,0.01220225915312767,0.002835343824699521,0.08567459136247635,0.22597436606884003,5.0,8,800.0
13068,20.308025360107422,10.338071823120117,19.790679931640625,9.16263198852539,12.353288650512695,5.842343330383301,12.965840180714926,0.0005138525739312172,0.0060271299444139,0.14874206483364105,0.3101949393749237,6.0,0,301.0
13868,24.08016586303711,17.227909088134766,49.16093444824219,16.76494598388672,3.8103435039520264,10.219740867614746,20.210673292477924,-0.02604988031089306,-0.03950294852256775,0.1419239044189453,0.2899310886859894,5.0,1,800.0
14668,12.525811195373535,3.298511028289795,11.086591720581055,-9.547369003295898,20.89948844909668,-9.193192481994629,4.84497348467509,-0.0036444934085011482,-0.0025626709684729576,0.13232703506946564,0.26737403869628906,4.0,1,800.0
15468,36.26508712768555,12.683873176574707,-0.660517692565918,12.106279373168945,-13.299543380737305,10.441473960876465,9.589442094167074,-0.0016780858859419823,-0.007957224734127522,0.14930051565170288,0.28646212816238403,4.0,3,800.0
16268,6.577071189880371,12.836463928222656,10.497201919555664,-20.794790267944336,23.497785568237305,21.372955322265625,8.99778127670288,-0.0013684520963579416,-0.000407383922720328,0.13152962923049927,0.2701444625854492,4.0,0,800.0
17068,23.96170997619629,3.74493408203125,7.096303462982178,-5.4813923835754395,6.711825370788574,16.98659896850586,8.836663246154785,0.0022089234553277493,0.001032876200042665,0.11985272914171219,0.2501031458377838,4.0,0,800.0
17868,9.483010292053223,12.267964363098145,16.713911056518555,1.5846948623657227,12.89475154876709,6.412915229797363,9.892874558766684,0.011391469277441502,0.008811095729470253,0.12890246510505676,0.26313233375549316,4.0,0,800.0
18668,12.894972801208496,12.468055725097656,10.501236915588379,5.1491193771362305,11.360675811767578,-19.27383804321289,5.516703764597575,0.006098864134401083,0.005456012673676014,0.09954125434160233,0.2469022125005722,5.0,2,800.0
18837,6.479801177978516,11.945512771606445,31.418964385986328,10.318111419677734,41.715877532958984,3.452059030532837,17.555054386456806,0.10138419270515442,0.09764306992292404,0.21835957467556,0.39942240715026855,6.0,0,168.0
19637,6.686661720275879,3.872542381286621,21.266252517700195,-9.963936805725098,8.824612617492676,17.751079559326172,8.072868665059408,0.013673636130988598,0.008096202276647091,0.08668749779462814,0.22228693962097168,5.0,2,800.0
20437,10.527259826660156,-27.609111785888672,14.520188331604004,14.14462947845459,20.921493530273438,19.217092514038086,8.620258649190268,-0.00901101529598236,-0.009850692935287952,0.08878595381975174,0.2333654910326004,5.0,4,800.0
21237,18.662063598632812,9.734207153320312,24.556669235229492,12.02151870727539,12.516348838806152,6.5402045249938965,14.005168676376343,0.023112978786230087,0.015631604939699173,0.09132625162601471,0.24305744469165802,5.0,0,800.0
22037,-57.48736572265625,17.370323181152344,-58.39942169189453,11.94189167022705,-26.507373809814453,2.794065475463867,-18.38131348292033,0.020539116114377975,0.010547471232712269,0.22360453009605408,0.368576318025589,3.0,26,800.0
22837,34.701229095458984,18.947498321533203,-4.7213287353515625,10.77665901184082,-26.780101776123047,6.309417724609375,6.538895606994629,0.01948581077158451,0.014529800042510033,0.1404823362827301,0.2868327498435974,4.0,4,800.0
23637,1.4172000885009766,-33.00792694091797,-23.631298065185547,12.292098045349121,-70.32734680175781,-54.06822204589844,-27.887582619984943,0.06900866329669952,0.09893840551376343,0.33943092823028564,0.4356516897678375,1.0,22,800.0
23913,22.020374298095703,14.281584739685059,41.75059127807617,25.702104568481445,10.202949523925781,3.437293767929077,19.56581636269887,0.09344011545181274,0.09255589544773102,0.20197127759456635,0.37247347831726074,6.0,1,275.0
24432,12.244475364685059,10.872392654418945,11.070680618286133,29.865304946899414,10.733789443969727,17.212257385253906,15.333150068918863,0.039879489690065384,0.01991322450339794,0.08367858827114105,0.22165903449058533,6.0,1,518.0
24630,15.900642395019531,20.342329025268555,25.570100784301758,3.2037105560302734,6.930048942565918,10.453696250915527,13.733421325683594,0.08282779902219772,0.03893915191292763,0.13113026320934296,0.2900463044643402,6.0,0,197.0
24863,10.524365425109863,16.995180130004883,9.447850227355957,8.255025863647461,18.105892181396484,28.64243507385254,15.328458150227865,0.1916811764240265,0.13639868795871735,0.2157343029975891,0.3682914674282074,6.0,0,232.0
25360,3.9036550521850586,42.04564666748047,8.661656379699707,44.66999053955078,4.420238494873047,3.235154628753662,17.822723627090454,0.07926817983388901,0.051278334110975266,0.1409795582294464,0.30505797266960144,6.0,6,496.0
25609,10.616840362548828,16.847103118896484,3.136944055557251,13.965679168701172,2.7678205966949463,6.139163017272949,8.912258386611938,0.050425805151462555,0.04813562333583832,0.12083800882101059,0.2851104438304901,6.0,0,248.0
25972,22.387226104736328,54.26300811767578,27.28667449951172,16.730960845947266,18.131671905517578,6.364731788635254,24.194045543670654,0.16033735871315002,0.10630375891923904,0.19589053094387054,0.351896733045578,6.0,0,362.0
26650,17.109508514404297,65.82125091552734,78.57262420654297,13.877811431884766,24.27472496032715,17.855876922607422,36.25196615854899,0.1778760552406311,0.11984242498874664,0.22323790192604065,0.3718391954898834,6.0,2,677.0
27037,12.289029121398926,13.439178466796875,18.71539306640625,17.884586334228516,7.910153388977051,91.14230346679688,26.89677397410075,0.1191171258687973,0.0811999961733818,0.22957666218280792,0.3967735171318054,6.0,4,386.0
27571,38.279605865478516,11.975242614746094,24.016525268554688,42.94519805908203,8.609437942504883,25.943267822265625,25.29487959543864,0.11956851929426193,0.12073427438735962,0.20688611268997192,0.3672882616519928,6.0,1,533.0
28371,25.480199813842773,23.002843856811523,3.0669727325439453,10.38094711303711,35.85405731201172,19.083349227905273,19.47806167602539,0.09750834852457047,0.10459259152412415,0.1415163278579712,0.30447497963905334,5.0,6,800.0
29171,2.801654815673828,5.653020858764648,16.5914306640625,12.617546081542969,-37.21837615966797,2.7975008487701416,0.540462851524353,0.10146374255418777,0.10900977998971939,0.164261594414711,0.3163432478904724,5.0,2,800.0
