env_step,episode,train_step,0_episode_r,1_episode_r,2_episode_r,3_episode_r,4_episode_r,5_episode_r,mean_episode_r,action_left_mean,action_right_mean,action_abs_mean,action_std,num_target,num_collision,finish_time
800,1,634,5.772998332977295,7.911149978637695,5.011096954345703,2.8556783199310303,12.006362915039062,-2.085421085357666,5.24531090259552,-0.008168121799826622,0.00917814765125513,0.2149452269077301,0.2740848660469055,2.0,2,800.0
1600,2,1434,-1.263871669769287,7.070249557495117,-4.928240776062012,-1.4348690509796143,-6.978741645812988,-3.817826509475708,-1.892216682434082,0.014533820562064648,0.00974483322352171,0.20660029351711273,0.27187055349349976,1.0,0,800.0
2400,3,2234,-3.073007822036743,-0.3631401062011719,-5.751717567443848,13.297700881958008,9.025330543518066,-3.688844680786133,1.5743868748346965,-0.014086070470511913,-0.025660239160060883,0.20176564157009125,0.2733306586742401,2.0,6,800.0
3200,4,3034,3.5324273109436035,14.061275482177734,12.734471321105957,6.277773857116699,6.097954273223877,-1.8686410188674927,6.805876870950063,-0.0468643382191658,-0.047017354518175125,0.1965349316596985,0.26782649755477905,3.0,0,800.0
4000,5,3834,1.8621647357940674,-13.298596382141113,-6.9193949699401855,-5.38980770111084,9.080057144165039,4.255331516265869,-1.7350409428278606,-0.12200915068387985,-0.1268586665391922,0.28194543719291687,0.33284324407577515,3.0,15,800.0
