step,0_episode_r,1_episode_r,2_episode_r,3_episode_r,4_episode_r,5_episode_r,mean_episode_r,action_left_mean,action_right_mean,action_abs_mean,action_std,num_target,num_collision,finish_time
634,12.913118362426758,-16.07201385498047,-2.3442306518554688,16.668838500976562,-14.111371994018555,-20.474170684814453,-3.9033050537109375,-0.0012145622167736292,-0.021726107224822044,0.2418234944343567,0.294669508934021,3.0,3,800.0
1434,7.643056869506836,6.605457305908203,-11.899110794067383,-10.179117202758789,9.689863204956055,-21.615886688232422,-3.2926228841145835,0.035366714000701904,0.04583363980054855,0.29934895038604736,0.35725900530815125,3.0,3,800.0
2234,10.094202041625977,11.234886169433594,10.706007957458496,-8.214238166809082,12.387072563171387,11.036592483520508,7.8740871747334795,-0.0990820825099945,-0.05027954652905464,0.30294886231422424,0.35454261302948,4.0,6,800.0
