step,0_episode_r,1_episode_r,2_episode_r,3_episode_r,4_episode_r,5_episode_r,mean_episode_r,action_left_mean,action_right_mean,action_abs_mean,action_std,num_target,num_collision,finish_time
634,1.4137744903564453,-11.016563415527344,-4.776848793029785,4.015213966369629,-10.98465633392334,-2.6350059509277344,-3.997347672780355,0.0012220366625115275,-0.00410792650654912,0.2420685887336731,0.2956365942955017,0.0,0,800.0
1434,10.350854873657227,5.119712829589844,16.67028045654297,7.466896057128906,10.66790771484375,-5.418018341064453,7.476272265116374,0.10904378443956375,0.05617326870560646,0.31953325867652893,0.37160801887512207,4.0,0,800.0
2234,11.65223217010498,10.630231857299805,13.461919784545898,17.494722366333008,10.63760757446289,11.663347244262695,12.590010166168213,-0.03372730314731598,-0.09022960811853409,0.3382144570350647,0.39613819122314453,4.0,1,800.0
3034,12.32242488861084,10.268912315368652,11.761505126953125,5.959388256072998,18.683759689331055,53.880638122558594,18.812771399815876,0.01716812141239643,0.000670760462526232,0.29396238923072815,0.3538467288017273,5.0,1,800.0
3728,6.348782062530518,11.065533638000488,5.994582176208496,8.416705131530762,6.55504035949707,15.841042518615723,9.036947647730509,-0.031099382787942886,-0.11191201955080032,0.32566848397254944,0.3820734918117523,6.0,0,693.0
4528,6.60488224029541,-10.718864440917969,6.179775238037109,6.193028450012207,-10.743301391601562,-26.872737884521484,-4.892869631449382,-0.19154569506645203,-0.2302466779947281,0.36418887972831726,0.37569648027420044,3.0,8,800.0
5328,11.594334602355957,17.396587371826172,-1.1221141815185547,12.110580444335938,4.708883285522461,6.035463333129883,8.453955809275309,-0.2708941102027893,-0.20574380457401276,0.37523502111434937,0.3703156113624573,3.0,9,800.0
6128,2.825516939163208,-2.572054386138916,9.027281761169434,17.011810302734375,3.1458585262298584,3.1433136463165283,5.430287798245748,-0.013970079831779003,0.04776408150792122,0.44603800773620605,0.5080921649932861,5.0,2,800.0
6928,20.84808349609375,10.46142864227295,59.91157531738281,18.199298858642578,12.575078964233398,12.47445297241211,22.4116530418396,0.029839394614100456,0.17293444275856018,0.44359833002090454,0.5020660161972046,5.0,0,800.0
7728,37.06262969970703,11.290129661560059,40.74073791503906,46.90950012207031,12.421329498291016,6.810534477233887,25.872476895650227,0.3583349585533142,0.4434073269367218,0.5712432861328125,0.48075994849205017,5.0,11,800.0
