step,total_loss,actor_loss,q1_loss,q2_loss,alpha
1,0.12046048045158386,-0.37358856201171875,0.24389445781707764,0.250154584646225,0.19993999600410461
2,0.21442317962646484,-0.39048629999160767,0.2970467805862427,0.30786269903182983,0.19988003373146057
3,0.012026205658912659,-0.4045218527317047,0.20288391411304474,0.21366414427757263,0.1998201161623001
4,-0.19674250483512878,-0.39576759934425354,0.09645960479974747,0.10256550461053848,0.1997603178024292
5,-0.022216781973838806,-0.41649171710014343,0.19743676483631134,0.1968381702899933,0.19970059394836426
6,-0.046309202909469604,-0.47180867195129395,0.20520168542861938,0.22029778361320496,0.19964081048965454
7,-0.06870746612548828,-0.47780054807662964,0.19931332767009735,0.2097797393798828,0.19958101212978363
8,-0.21921926736831665,-0.5055584907531738,0.14776816964149475,0.13857105374336243,0.19952119886875153
9,-0.24089592695236206,-0.49956080317497253,0.13732367753982544,0.12134119868278503,0.1994614154100418
10,-0.17260274291038513,-0.5212019085884094,0.17149516940116882,0.17710399627685547,0.1994016170501709
11,-0.07624346017837524,-0.5714542269706726,0.24306300282478333,0.25214776396751404,0.19934171438217163
12,-0.16596932709217072,-0.5512294769287109,0.18550977110862732,0.1997503787279129,0.19928182661533356
13,-0.29360100626945496,-0.5607353448867798,0.13525241613388062,0.1318819224834442,0.19922202825546265
14,-0.13208864629268646,-0.5944162011146545,0.23219214379787445,0.23013539612293243,0.19916218519210815
15,-0.0478692352771759,-0.5835620760917664,0.26916906237602234,0.2665237784385681,0.19910243153572083
16,-0.347433865070343,-0.6050981879234314,0.1272900402545929,0.13037429749965668,0.1990426778793335
17,-0.23461337387561798,-0.6087704300880432,0.18434250354766846,0.18981455266475677,0.19898298382759094
18,-0.2949956953525543,-0.6073169708251953,0.16109700500965118,0.151224285364151,0.19892331957817078
19,-0.29805469512939453,-0.6574243903160095,0.17718690633773804,0.18218280375003815,0.19886347651481628
20,-0.3474539518356323,-0.6303936839103699,0.1398845911026001,0.14305514097213745,0.19880364835262299
21,-0.3243141174316406,-0.6434328556060791,0.15739582479000092,0.16172289848327637,0.1987438201904297
22,-0.4065782427787781,-0.6410678625106812,0.11719829589128494,0.11729131639003754,0.19868405163288116
23,-0.1685943752527237,-0.6372182369232178,0.2390068769454956,0.22961698472499847,0.19862429797649384
24,-0.3972046375274658,-0.647039532661438,0.12319612503051758,0.1266387552022934,0.1985645294189453
25,-0.4031371474266052,-0.6497228741645813,0.11972338706254959,0.12686234712600708,0.19850468635559082
26,-0.2696557343006134,-0.6392556428909302,0.17761540412902832,0.19198450446128845,0.19844485819339752
27,-0.37577444314956665,-0.6301053166389465,0.12772248685359955,0.12660835683345795,0.1983850598335266
28,-0.3413000702857971,-0.618945837020874,0.13919633626937866,0.13844941556453705,0.19832533597946167
29,-0.28514862060546875,-0.6245729923248291,0.1722317337989807,0.16719265282154083,0.19826552271842957
30,-0.353665292263031,-0.6154100894927979,0.13083159923553467,0.13091318309307098,0.19820564985275269
31,-0.33001643419265747,-0.5896574258804321,0.13023792207241058,0.12940306961536407,0.19814588129520416
32,-0.349719375371933,-0.6004529595375061,0.12537068128585815,0.12536290287971497,0.19808614253997803
33,-0.13140767812728882,-0.5854504108428955,0.22932544350624084,0.22471728920936584,0.19802641868591309
34,-0.22431491315364838,-0.5894941091537476,0.17876341938972473,0.18641577661037445,0.19796663522720337
35,-0.3668099343776703,-0.5582407712936401,0.09702643007040024,0.09440439194440842,0.197906956076622
36,-0.18396234512329102,-0.5819171667098999,0.19864538311958313,0.19930943846702576,0.19784723222255707
37,-0.4437829256057739,-0.5754550695419312,0.06282009929418564,0.06885206699371338,0.19778752326965332
38,-0.20193149149417877,-0.5749784708023071,0.18282517790794373,0.19022180140018463,0.19772787392139435
39,-0.18611721694469452,-0.5697623491287231,0.1908111870288849,0.19283394515514374,0.19766829907894135
40,-0.3511289358139038,-0.5873799324035645,0.11446323990821838,0.12178776413202286,0.19760875403881073
41,-0.38955652713775635,-0.5664849281311035,0.08945424109697342,0.08747417479753494,0.19754928350448608
42,-0.10069392621517181,-0.5765953063964844,0.24057509005069733,0.23532630503177643,0.19748978316783905
43,-0.21973738074302673,-0.5873169898986816,0.1885727047920227,0.1790069043636322,0.19743025302886963
44,-0.2113870233297348,-0.5711726546287537,0.17580336332321167,0.1839822679758072,0.19737078249454498
45,-0.17131929099559784,-0.5657631158828735,0.19872497022151947,0.19571883976459503,0.1973113864660263
46,-0.3221617639064789,-0.5713452100753784,0.12503524124622345,0.12414821982383728,0.19725200533866882
47,-0.278510719537735,-0.5741997361183167,0.14601731300354004,0.14967170357704163,0.19719262421131134
48,-0.39367491006851196,-0.594200849533081,0.1005324125289917,0.0999935194849968,0.19713319838047028
49,-0.21311020851135254,-0.5689283013343811,0.18251696228981018,0.17330113053321838,0.19707393646240234
50,-0.24794068932533264,-0.5851633548736572,0.17051225900650024,0.16671040654182434,0.19701474905014038
51,-0.4349426329135895,-0.5849897861480713,0.07695668190717697,0.07309046387672424,0.19695565104484558
52,-0.14136262238025665,-0.6088221073150635,0.23527881503105164,0.2321806699037552,0.1968964785337448
53,-0.22479818761348724,-0.59856116771698,0.1898224800825119,0.18394048511981964,0.19683736562728882
54,-0.31480932235717773,-0.6076049208641052,0.14712105691432953,0.14567454159259796,0.19677825272083282
55,-0.36100220680236816,-0.6093149185180664,0.12403862178325653,0.12427407503128052,0.19671912491321564
56,-0.1587710827589035,-0.6107032299041748,0.2335984706878662,0.2183336764574051,0.19666002690792084
57,-0.473712682723999,-0.6199208498001099,0.07308251410722733,0.07312564551830292,0.1966010332107544
58,-0.2610120177268982,-0.617592453956604,0.18022367358207703,0.1763567477464676,0.19654200971126556
59,-0.4001622498035431,-0.631203293800354,0.11663838475942612,0.11440267413854599,0.19648297131061554
60,-0.2874583303928375,-0.6233034729957581,0.17108140885829926,0.16476371884346008,0.1964239776134491
61,-0.4212956130504608,-0.6452398896217346,0.11420779675245285,0.10973647236824036,0.19636499881744385
62,-0.35439300537109375,-0.6446397304534912,0.14187772572040558,0.14836901426315308,0.19630594551563263
63,-0.20189039409160614,-0.6277571320533752,0.2135428786277771,0.212323859333992,0.19624696671962738
64,-0.17736633121967316,-0.6475633978843689,0.23589585721492767,0.23430119454860687,0.19618797302246094
65,-0.33819982409477234,-0.6318436861038208,0.1469184160232544,0.14672544598579407,0.1961289793252945
66,-0.3970957100391388,-0.6530332565307617,0.12800616025924683,0.1279313862323761,0.19606997072696686
67,-0.4772219657897949,-0.6831476092338562,0.10569130629301071,0.10023433715105057,0.19601091742515564
