step,0_episode_r,1_episode_r,2_episode_r,3_episode_r,4_episode_r,5_episode_r,mean_episode_r,action_left_mean,action_right_mean,action_abs_mean,action_std,num_target,num_collision,finish_time
634,-397.205322265625,-461.3861083984375,-615.7605590820312,-266.3127746582031,-473.0,-461.2943420410156,-445.82651774088544,0.0724058523774147,0.01682685688138008,0.5075391530990601,0.57972651720047,2.0,4.5,800.0
1434,179.52655029296875,53.27791213989258,40.0,-167.87841796875,139.0,69.99996948242188,52.3210023244222,0.01506699901074171,0.14452916383743286,0.48401591181755066,0.5520536303520203,3.0,5.5,800.0
2234,-118.48960876464844,89.82073974609375,-598.1842651367188,-242.6507568359375,35.83995819091797,143.4562225341797,-115.03461837768555,0.29224351048469543,0.29289117455482483,0.4922444224357605,0.48241060972213745,3.0,18.833333333333332,800.0
3034,151.6147003173828,101.64605712890625,-1350.8299560546875,-851.9892578125,200.45297241210938,-1004.0,-458.85091400146484,0.3210386037826538,0.4870826303958893,0.5583458542823792,0.47492924332618713,4.0,64.16666666666667,800.0
3834,67.90900421142578,213.28111267089844,15.244873046875,119.84207153320312,197.51370239257812,171.77371215820312,130.92741266886392,0.08044367283582687,0.33560171723365784,0.4463491439819336,0.47408339381217957,5.0,4.5,800.0
4171,224.82168579101562,328.0267333984375,139.81011962890625,100.18992614746094,171.13082885742188,93.2512435913086,176.2050895690918,0.24969632923603058,0.3099956512451172,0.4446759521961212,0.4352029263973236,6.0,3.5,336.0
4971,104.00249481201172,40.922119140625,-1311.998291015625,292.08087158203125,239.037841796875,195.702392578125,-73.3754285176595,-0.1384885609149933,0.35538288950920105,0.5324277281761169,0.5973912477493286,5.0,27.666666666666668,800.0
5771,-475.0141906738281,-2200.0,28.980979919433594,6.391632080078125,62.079307556152344,-857.9275512695312,-572.5816370646158,-0.10509208589792252,0.10384035110473633,0.48174571990966797,0.552513062953949,3.0,64.0,800.0
6571,-424.9963073730469,-774.9977416992188,-685.8385009765625,101.9360122680664,173.0,151.35650634765625,-243.25667190551758,0.4869561791419983,0.30400460958480835,0.48595938086509705,0.3989275097846985,3.0,39.166666666666664,800.0
7371,101.38693237304688,121.6353530883789,196.0,-323.3887939453125,180.678466796875,-655.3212280273438,-63.16821161905924,0.23573705554008484,0.3739534914493561,0.4949575364589691,0.4738221764564514,5.0,25.666666666666668,800.0
8171,151.00074768066406,100.60214233398438,-117.9495849609375,200.02764892578125,-1571.0,151.66586303710938,-180.94219716389975,0.2702829837799072,0.4739929139614105,0.480125367641449,0.398695707321167,3.0,33.166666666666664,800.0
8971,73.0,-588.6602172851562,147.46763610839844,78.00743103027344,183.0,174.00033569335938,11.1358642578125,0.4144801199436188,0.48983699083328247,0.528965175151825,0.38089367747306824,5.0,17.666666666666668,800.0
9771,-1092.778076171875,131.13978576660156,96.0,100.45185089111328,246.244140625,186.3912811279297,-55.42516962687174,0.3841125965118408,0.5017691254615784,0.5584351420402527,0.4520725607872009,4.0,22.166666666666668,800.0
10571,-946.2562255859375,97.31674194335938,-1213.9168701171875,149.83770751953125,2.1236495971679688,-1663.0,-595.6491661071777,0.4738648533821106,0.5008033514022827,0.5610687136650085,0.3936992585659027,3.0,73.5,800.0
11371,130.00253295898438,-269.9411315917969,100.50064086914062,-141.0,149.0,-511.0,-90.40632629394531,0.4390189051628113,0.4222728908061981,0.5359038710594177,0.43036088347435,3.0,24.0,800.0
12171,-1947.7535400390625,-2499.3486328125,203.8121795654297,-1743.090576171875,106.09457397460938,131.33099365234375,-958.1591669718424,0.5813267827033997,0.5440651178359985,0.6559907793998718,0.4508545696735382,3.0,110.5,800.0
12971,-331.2236328125,115.84087371826172,-3259.0,121.0,186.31520080566406,87.4598388671875,-513.2679532368978,0.2839755117893219,0.6702390313148499,0.6576665043830872,0.5391768217086792,3.0,64.33333333333333,800.0
13771,29.123382568359375,61.160709381103516,-64.29308319091797,139.48968505859375,68.5834732055664,5.9017181396484375,39.994314193725586,-0.37857696413993835,0.25223949551582336,0.5037598013877869,0.5845609903335571,2.0,2.1666666666666665,800.0
14571,84.2593002319336,152.0745849609375,97.76162719726562,102.00991821289062,96.08049011230469,92.000732421875,104.03110885620117,-0.3748053312301636,0.26641738414764404,0.46344122290611267,0.5350823402404785,2.0,0.16666666666666666,800.0
15371,27.99999237060547,57.999969482421875,101.29422760009766,-142.0,-7102.0,151.1515655517578,-1150.9257074991863,0.2876380681991577,0.6204246282577515,0.6547439694404602,0.5676720142364502,2.0,125.83333333333333,800.0
16171,197.0,21.514938354492188,197.0,-353.0,151.57278442382812,101.63021087646484,52.61965560913086,0.12565885484218597,0.4184153378009796,0.5878418684005737,0.600618839263916,4.0,13.0,800.0
16971,-1110.157470703125,-1242.82568359375,53.0181884765625,102.2151107788086,85.91067504882812,20.466659545898438,-348.5620867411296,0.24514871835708618,0.32961755990982056,0.5578250885009766,0.5753519535064697,2.0,45.5,800.0
17771,38.0,-70.91138458251953,-1042.0,102.99969482421875,21.010498046875,18.0,-155.4835319519043,0.020890241488814354,0.2218763679265976,0.5104306936264038,0.5872922539710999,1.0,20.5,800.0
18571,126.0,-133.0,65.83641052246094,70.02531433105469,101.77349853515625,-182.1556396484375,8.079930623372396,0.07234672456979752,0.4422716200351715,0.5684389472007751,0.5850033164024353,2.0,9.333333333333334,800.0
19371,-108.61815643310547,-129.9746551513672,-392.3557434082031,12.244384765625,-41.83491134643555,-95.02530670166016,-125.92739804585774,-0.5113642811775208,0.2611922323703766,0.5022545456886292,0.5675064325332642,1.0,11.166666666666666,800.0
20171,96.34112548828125,195.33935546875,225.74420166015625,153.08547973632812,196.04800415039062,138.04380798339844,167.43366241455078,0.6610463857650757,0.5548036694526672,0.6940176486968994,0.4611766040325165,4.0,0.6666666666666666,800.0
20971,78.20951080322266,165.0,156.02337646484375,168.90896606445312,-242.74533081054688,-25.0,50.066087086995445,-0.23522858321666718,-0.02357325330376625,0.6430888772010803,0.6977035999298096,4.0,9.833333333333334,800.0
21771,96.22712707519531,-3842.0,192.08657836914062,138.0,238.0,-6810.9921875,-1664.7797470092773,-0.3013805150985718,-0.21864618360996246,0.677045464515686,0.7019484043121338,4.0,183.83333333333334,800.0
22571,144.7633056640625,90.87570190429688,57.14067077636719,-1085.5374755859375,148.58804321289062,67.16352844238281,-96.16770426432292,0.6065460443496704,0.46398141980171204,0.682317852973938,0.5266265273094177,4.0,23.666666666666668,800.0
23371,101.83902740478516,33.39213562011719,47.65289306640625,149.7228546142578,70.0,84.06861877441406,81.1125882466634,0.027605973184108734,0.15109512209892273,0.4998396337032318,0.5770964622497559,3.0,2.3333333333333335,800.0
24171,195.51321411132812,-303.0,155.22457885742188,149.12606811523438,237.0,199.26388549804688,105.5212910970052,0.07705352455377579,0.17944790422916412,0.5122514963150024,0.5814271569252014,4.0,8.166666666666666,800.0
24971,145.3567352294922,206.10536193847656,214.0,105.17927551269531,266.04351806640625,185.73590087890625,187.07013193766275,-0.5722298622131348,-0.42956674098968506,0.712982714176178,0.5876023173332214,5.0,1.5,800.0
25464,81.86654663085938,96.28121185302734,243.16629028320312,156.27200317382812,287.0,190.0681915283203,175.77570724487305,0.25873106718063354,0.18295986950397491,0.737652063369751,0.7626042366027832,6.0,4.5,492.0
26264,-157.97950744628906,-1151.0,148.0,199.00198364257812,-611.0,100.7054672241211,-245.3786760965983,-0.015278816223144531,0.2133336365222931,0.6252999305725098,0.6956376433372498,4.0,42.833333333333336,800.0
27064,196.28781127929688,192.0,142.00047302246094,249.44171142578125,132.0,103.62722778320312,169.22620391845703,0.2863503396511078,0.053353823721408844,0.5987429022789001,0.644867479801178,4.0,1.0,800.0
27864,148.15023803710938,234.7381591796875,104.54679870605469,252.80657958984375,187.0,268.0,199.20696258544922,-0.2478550523519516,-0.04738901928067207,0.6179097890853882,0.6696951389312744,5.0,0.5,800.0
28664,173.39596557617188,176.64158630371094,124.62310791015625,165.3722686767578,81.26915740966797,24.351646423339844,124.27562204996745,0.36120641231536865,0.4247130751609802,0.6691290736198425,0.6220927238464355,4.0,3.8333333333333335,800.0
29464,301.0562744140625,151.25506591796875,251.0210723876953,200.0,100.49014282226562,-89.0,152.47042592366537,-0.2917722463607788,-0.15016667544841766,0.6583607196807861,0.6899675130844116,5.0,5.666666666666667,800.0
30264,242.2023468017578,90.77189636230469,148.69369506835938,195.14244079589844,-255.90762329101562,202.7952117919922,103.94966125488281,0.09613790363073349,0.38454028964042664,0.5467274188995361,0.5736455321311951,4.0,7.333333333333333,800.0
31064,181.85140991210938,132.67604064941406,-188.0,107.91532135009766,176.7235870361328,-62.649871826171875,58.086081186930336,0.20898117125034332,0.4539155662059784,0.6903858184814453,0.674460232257843,4.0,9.833333333333334,800.0
31864,-208.83193969726562,229.06214904785156,151.26100158691406,98.81004333496094,128.0245361328125,141.00184631347656,89.887939453125,0.5192599296569824,0.5760892629623413,0.7424687743186951,0.5814797282218933,5.0,10.833333333333334,800.0
32664,100.92963409423828,278.0,228.0,200.0167236328125,149.02871704101562,-89.94622802734375,144.33814112345377,0.2084740847349167,0.46568411588668823,0.7342439293861389,0.7233779430389404,5.0,6.333333333333333,800.0
