env_step,episode,train_step,0_episode_r,1_episode_r,2_episode_r,3_episode_r,4_episode_r,5_episode_r,mean_episode_r,action_left_mean,action_right_mean,action_abs_mean,action_std,num_target,num_collision,finish_time
800,1,634,3.204432964324951,11.601188659667969,6.042394638061523,3.453573703765869,-1.3032864332199097,-1.9440346956253052,3.509044806162516,-0.0028932380955666304,0.0027873546350747347,0.21463589370250702,0.2735220193862915,1.0,0,800.0
1600,2,1434,10.295415878295898,6.990911483764648,7.1175537109375,-0.02631545066833496,-3.1424856185913086,-5.116060256958008,2.686503291130066,0.005318761803209782,0.016207965090870857,0.18537183105945587,0.26024800539016724,2.0,0,800.0
2400,3,2234,2.680176258087158,-3.322927236557007,-5.879897594451904,-1.165163278579712,-2.7493839263916016,10.13398551940918,-0.05053504308064779,-0.007441029418259859,0.01331880409270525,0.21661376953125,0.2857259511947632,1.0,0,800.0
3200,4,3034,-0.11791229248046875,6.569040298461914,-3.689617156982422,6.354728698730469,15.888010025024414,-0.5608861446380615,4.073893904685974,0.016416896134614944,-0.02815331146121025,0.17699071764945984,0.2573186755180359,3.0,1,800.0
4000,5,3834,14.993620872497559,8.771774291992188,7.887800216674805,10.740852355957031,11.585926055908203,11.703354835510254,10.947221438090006,0.022040242329239845,-0.038181304931640625,0.1504688560962677,0.24836374819278717,4.0,3,800.0
4800,6,4634,6.916811943054199,19.83903694152832,15.142894744873047,-0.7911019325256348,8.183960914611816,4.5346832275390625,8.971047639846802,0.21534350514411926,0.1117926761507988,0.23812560737133026,0.3331667482852936,4.0,8,800.0
5600,7,5434,13.241868019104004,18.307144165039062,18.28348159790039,14.699033737182617,16.22899627685547,9.69990348815918,15.076737880706787,0.202540323138237,0.180821031332016,0.2043013572692871,0.3304179906845093,5.0,0,800.0
5724,8,5558,12.662775039672852,20.340484619140625,7.217668056488037,15.200075149536133,15.339570999145508,17.378631591796875,14.689867575963339,0.30621564388275146,0.30174800753593445,0.3094920814037323,0.3854027986526489,6.0,0,123.0
6218,9,6052,15.725872039794922,11.380027770996094,27.915781021118164,15.350120544433594,20.2812557220459,12.061565399169922,17.119103749593098,0.1698775440454483,0.18211066722869873,0.18115708231925964,0.3335699141025543,6.0,2,493.0
6402,10,6236,20.33981704711914,15.816699981689453,28.33897590637207,7.313146591186523,12.5576171875,36.67803192138672,20.174048105875652,0.32587194442749023,0.3400389552116394,0.338295578956604,0.4048343002796173,6.0,1,183.0
7202,11,7036,8.976261138916016,10.450155258178711,10.904765129089355,20.94190788269043,30.525901794433594,25.705595016479492,17.917431036631267,0.24628888070583344,0.260012149810791,0.2593207061290741,0.3833469748497009,5.0,2,800.0
8002,12,7836,16.018081665039062,8.805106163024902,21.839075088500977,9.957195281982422,9.760486602783203,15.396389961242676,13.629389127095541,0.17055602371692657,0.17898139357566833,0.17962200939655304,0.34103086590766907,5.0,0,800.0
8802,13,8636,23.812686920166016,13.180334091186523,14.026694297790527,11.381095886230469,31.374481201171875,5.007748126983643,16.46384008725484,0.19754761457443237,0.20528726279735565,0.20708908140659332,0.35559409856796265,5.0,1,800.0
9602,14,9436,31.195873260498047,14.798009872436523,13.026246070861816,16.289993286132812,8.229270935058594,17.133691787719727,16.778847535451252,0.1666865050792694,0.16712737083435059,0.17191742360591888,0.3346079885959625,5.0,2,800.0
9740,15,9574,10.723100662231445,15.715003967285156,17.939659118652344,9.789764404296875,19.12842559814453,24.86215591430664,16.359684944152832,0.35404932498931885,0.3210010528564453,0.34476107358932495,0.4065035879611969,6.0,0,137.0
10540,16,10374,14.885074615478516,23.661937713623047,7.588059902191162,10.130770683288574,7.012627124786377,19.9329776763916,13.868574619293213,0.3783003091812134,0.35496532917022705,0.37448227405548096,0.4005385637283325,4.0,0,800.0
11159,17,10993,15.925886154174805,11.286751747131348,13.68887996673584,13.086721420288086,26.402925491333008,21.363544464111328,16.959118207295734,0.18869172036647797,0.1719920039176941,0.18556557595729828,0.33744677901268005,6.0,4,618.0
11959,18,11793,7.189497947692871,10.573638916015625,22.89887237548828,0.521672248840332,36.733062744140625,19.503145217895508,16.236648241678875,0.1952938586473465,0.1449049413204193,0.18341302871704102,0.3369753956794739,5.0,0,800.0
12759,19,12593,11.575092315673828,4.7711896896362305,16.812103271484375,14.337366104125977,30.404964447021484,23.891090393066406,16.965301036834717,0.2644278407096863,0.18760451674461365,0.23468981683254242,0.3590686023235321,5.0,2,800.0
13559,20,13393,19.107223510742188,22.823150634765625,7.26485013961792,19.690719604492188,18.911277770996094,12.544153213500977,16.723562479019165,0.20532621443271637,0.058100294321775436,0.17492270469665527,0.3343769907951355,5.0,3,800.0
14359,21,14193,14.227433204650879,12.753665924072266,21.523122787475586,22.663923263549805,6.818447113037109,2.982001781463623,13.494765679041544,0.16297611594200134,-0.018910888582468033,0.17246733605861664,0.3505750894546509,5.0,0,800.0
15159,22,14993,-4.020619869232178,7.474415302276611,17.576400756835938,6.2002410888671875,10.470305442810059,26.729778289794922,10.738420168558756,0.11264040321111679,0.08112054318189621,0.24127618968486786,0.3936285078525543,4.0,3,800.0
15959,23,15793,9.036114692687988,17.236858367919922,-8.359550476074219,-7.589998245239258,12.3140869140625,9.633705139160156,5.378536065419515,0.07364834100008011,0.046839360147714615,0.20842038094997406,0.36436787247657776,4.0,6,800.0
16759,24,16593,4.570988178253174,22.414642333984375,11.190235137939453,12.792978286743164,15.066925048828125,9.44603157043457,12.580300092697144,0.055828798562288284,0.026942895725369453,0.17291203141212463,0.3189135193824768,4.0,1,800.0
17559,25,17393,19.242576599121094,7.929233551025391,13.167630195617676,16.758028030395508,13.673145294189453,12.914315223693848,13.947488149007162,0.149004265666008,0.09461554139852524,0.1608484983444214,0.3206324577331543,5.0,0,800.0
18359,26,18193,22.361103057861328,20.30621910095215,14.923990249633789,18.520742416381836,12.539607048034668,15.276582717895508,17.32137409845988,0.18361923098564148,0.10732289403676987,0.19459423422813416,0.3437380790710449,5.0,2,800.0
19159,27,18993,14.650019645690918,13.257838249206543,10.413548469543457,7.495857238769531,16.1163272857666,19.509281158447266,13.573812007904053,0.18655194342136383,0.12609240412712097,0.18606290221214294,0.3398437201976776,5.0,4,800.0
19959,28,19793,17.14971923828125,7.766245365142822,14.597347259521484,10.066901206970215,11.585474967956543,15.972648620605469,12.85638944307963,0.0866134762763977,-0.004992399364709854,0.09851004928350449,0.25293585658073425,5.0,0,800.0
20759,29,20593,11.777792930603027,15.543420791625977,7.725830554962158,11.00841999053955,14.793251991271973,18.938488006591797,13.297867377599081,0.2100898027420044,0.0010267102625221014,0.18444404006004333,0.33500438928604126,5.0,1,800.0
21559,30,21393,16.836101531982422,3.284759998321533,16.384017944335938,15.622574806213379,13.651334762573242,9.19173526763916,12.495087385177612,0.10857060551643372,0.042064838111400604,0.13985364139080048,0.28429943323135376,5.0,0,800.0
21930,31,21764,16.487295150756836,12.936040878295898,16.946762084960938,25.54233169555664,11.400049209594727,18.117431640625,16.904985109965008,0.1878492534160614,0.09487041085958481,0.25009027123451233,0.3752528429031372,6.0,0,370.0
22559,32,22393,38.615699768066406,29.526294708251953,13.426750183105469,16.044843673706055,10.204181671142578,23.221359252929688,21.83985487620036,0.23881922662258148,0.08806644380092621,0.239851713180542,0.3823743462562561,6.0,0,628.0
23359,33,23193,18.25147247314453,11.547252655029297,19.9342041015625,8.813434600830078,9.396537780761719,9.618762016296387,12.926943937937418,0.14099255204200745,0.08129287511110306,0.17455151677131653,0.310719758272171,5.0,0,800.0
24159,34,23993,1.0179390907287598,18.884151458740234,13.877595901489258,2.58131742477417,16.36450958251953,32.04032516479492,14.127639770507812,0.19781266152858734,0.12763568758964539,0.2925419807434082,0.3898383378982544,4.0,3,800.0
24959,35,24793,5.780249118804932,12.240646362304688,10.430095672607422,19.933551788330078,20.925647735595703,11.921873092651367,13.538677295049032,0.11471075564622879,0.07918005436658859,0.2015291303396225,0.3304601311683655,4.0,0,800.0
25759,36,25593,16.50673484802246,1.7043943405151367,12.8885498046875,1.1646199226379395,14.738544464111328,10.09157943725586,9.515737136205038,0.17079560458660126,0.11453519016504288,0.22664512693881989,0.344768226146698,4.0,2,800.0
26559,37,26393,26.05294418334961,20.823078155517578,10.0471830368042,16.36258316040039,8.001884460449219,20.77298355102539,17.010109424591064,0.15452837944030762,0.10650233179330826,0.22798386216163635,0.35445263981819153,4.0,0,800.0
27359,38,27193,4.453775882720947,-2.2260899543762207,24.340572357177734,6.266640663146973,18.637351989746094,4.2656331062316895,9.289647340774536,0.18851111829280853,0.12420587241649628,0.30061784386634827,0.38256096839904785,2.0,2,800.0
28159,39,27993,-4.7362380027771,4.311249256134033,-1.5265820026397705,-0.04411625862121582,-3.234833240509033,14.408876419067383,1.5297260284423828,0.3336581289768219,0.2856246829032898,0.37311041355133057,0.37567731738090515,1.0,1,800.0
28959,40,28793,15.405284881591797,14.769795417785645,12.175399780273438,17.812198638916016,18.158836364746094,13.09179401397705,15.235551516215006,0.20156066119670868,0.1446801722049713,0.24472704529762268,0.3646535575389862,4.0,5,800.0
29759,41,29593,15.100102424621582,4.7129011154174805,26.42388343811035,9.676788330078125,14.553380966186523,-0.9926576614379883,11.579066435496012,0.15836657583713531,0.0981379896402359,0.22562941908836365,0.3469862639904022,3.0,0,800.0
30559,42,30393,6.09530782699585,15.645956993103027,13.0125093460083,14.645774841308594,17.55840492248535,19.57501792907715,14.422161976496378,0.10722232609987259,0.05313481390476227,0.16764140129089355,0.3022423982620239,5.0,0,800.0
31359,43,31193,9.059148788452148,10.631000518798828,12.456673622131348,3.3620266914367676,13.112401962280273,8.980403900146484,9.600275913874308,0.22048687934875488,0.15018115937709808,0.2894459664821625,0.37256404757499695,2.0,2,800.0
32159,44,31993,10.529292106628418,18.21158790588379,2.899603843688965,29.256425857543945,9.394742965698242,21.879575729370117,15.361871401468912,0.1645764261484146,0.08511129021644592,0.22536654770374298,0.3522678017616272,4.0,0,800.0
32959,45,32793,9.961601257324219,22.824674606323242,17.811656951904297,20.503318786621094,17.765174865722656,-3.0052988529205322,14.310187935829163,0.23121780157089233,0.1532459557056427,0.2837070822715759,0.369067519903183,4.0,3,800.0
33759,46,33593,27.77155303955078,10.443775177001953,17.292659759521484,8.830886840820312,9.658061981201172,10.00991439819336,14.001141866048178,0.1534375697374344,0.10285627096891403,0.16593322157859802,0.3145206868648529,5.0,2,800.0
34559,47,34393,8.096598625183105,18.35979652404785,23.80139923095703,17.397737503051758,9.568815231323242,15.22616195678711,15.40841817855835,0.11652426421642303,0.09411394596099854,0.12989158928394318,0.28408083319664,5.0,1,800.0
35359,48,35193,17.078035354614258,9.945667266845703,4.833693027496338,9.77749252319336,15.974857330322266,8.774435043334961,11.064030090967814,0.252113938331604,0.21027934551239014,0.26366811990737915,0.36332711577415466,4.0,11,800.0
36159,49,35993,14.760377883911133,16.39786720275879,8.037176132202148,19.556049346923828,20.916244506835938,11.02900505065918,15.116120020548502,0.23243018984794617,0.20555758476257324,0.2743264436721802,0.3721042275428772,5.0,1,800.0
